Block Party,Door Dash,Egg Scramble,Fall Ball,Fall Mountain,Fruit Chute,Gate Crash,Hex-A-Gone,Hit Parade,Hoarders,Hoopsie Daisy,Jinxed,Jump Club,Jump Showdown,Perfect Match,Rock N Roll,Roll Out,Royal Fumble,See Saw,Slime Climb,Tail Tag,Tip Toe,Whirlygig
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
